order_id,order_timestamp,customer_id,country,amount,currency,status
O-1079,2025-11-01T19:06:00Z,C-0079,CA,710.06,CAD,PAID
O-1080,2025-11-01T19:13:00Z,C-0080,IN,1217.79,INR,CREATED
O-1081,2025-11-01T19:20:00Z,C-0081,US,104.36,USD,CREATED
O-1082,2025-11-01T19:27:00Z,C-0082,US,1454.42,USD,PAID
O-1083,2025-11-01T19:34:00Z,C-0083,AU,627.43,AUD,CANCELLED
O-1084,2025-11-01T19:41:00Z,C-0084,AU,1301.04,AUD,PAID
O-1085,2025-11-01T19:48:00Z,C-0085,AU,587.09,AUD,CANCELLED
O-1086,2025-11-01T19:55:00Z,C-0086,CA,1391.98,CAD,CANCELLED
O-1087,2025-11-01T20:02:00Z,C-0087,CA,651.82,CAD,CREATED
O-1088,2025-11-01T20:09:00Z,C-0088,GB,1002.95,GBP,CANCELLED
O-1089,2025-11-01T20:16:00Z,C-0089,AU,309.15,AUD,PAID
O-1090,2025-11-01T20:23:00Z,C-0090,US,881.4,USD,CREATED
O-1091,2025-11-01T20:30:00Z,C-0091,US,1129.52,USD,PAID
O-1092,2025-11-01T20:37:00Z,C-0092,US,888.74,USD,CREATED
O-1093,2025-11-01T20:44:00Z,C-0093,GB,261.43,GBP,CREATED
O-1094,2025-11-01T20:51:00Z,C-0094,US,1281.47,USD,PAID
O-1095,2025-11-01T20:58:00Z,C-0095,GB,129.9,GBP,PAID
O-1096,2025-11-01T21:05:00Z,C-0096,IN,206.23,INR,CREATED
O-1097,2025-11-01T21:12:00Z,C-0097,AU,881.01,AUD,PAID
O-1098,2025-11-01T21:19:00Z,C-0098,GB,150.52,GBP,CREATED
O-1099,2025-11-01T21:26:00Z,C-0099,GB,860.88,GBP,CANCELLED
O-1100,2025-11-01T21:33:00Z,C-0100,CA,330.26,CAD,CREATED
O-1101,2025-11-01T21:40:00Z,C-0101,CA,380.87,CAD,CANCELLED
O-1102,2025-11-01T21:47:00Z,C-0102,AU,1017.38,AUD,CANCELLED
O-1103,2025-11-01T21:54:00Z,C-0103,IN,494.78,INR,PAID
O-1104,2025-11-01T22:01:00Z,C-0104,US,703.68,USD,CREATED
O-1105,2025-11-01T22:08:00Z,C-0105,US,137.69,USD,PAID
O-1106,2025-11-01T22:15:00Z,C-0106,GB,419.84,GBP,CANCELLED
O-1107,2025-11-01T22:22:00Z,C-0107,US,1322.53,USD,CANCELLED
O-1108,2025-11-01T22:29:00Z,C-0108,CA,261.89,CAD,CREATED
O-1109,2025-11-01T22:36:00Z,C-0109,CA,929.17,CAD,CREATED
O-1110,2025-11-01T22:43:00Z,C-0110,GB,41.5,GBP,CREATED
O-1111,2025-11-01T22:50:00Z,C-0111,CA,1399.68,CAD,PAID
O-1112,2025-11-01T22:57:00Z,C-0112,AU,418.76,AUD,PAID
O-1113,2025-11-01T23:04:00Z,C-0113,GB,258.51,GBP,CANCELLED
O-1114,2025-11-01T23:11:00Z,C-0114,GB,339.63,GBP,CANCELLED
O-1115,2025-11-01T23:18:00Z,C-0115,AU,1040.62,AUD,CANCELLED
O-1116,2025-11-01T23:25:00Z,C-0116,GB,748.14,GBP,PAID
O-1117,2025-11-01T23:32:00Z,C-0117,US,962.4,USD,CANCELLED
O-1118,2025-11-01T23:39:00Z,C-0118,US,35.21,USD,PAID
O-1119,2025-11-01T23:46:00Z,C-0119,CA,267.53,CAD,CANCELLED
O-1120,2025-11-01T23:53:00Z,C-0120,GB,1067.33,GBP,CREATED
O-1121,2025-11-02T00:00:00Z,C-0121,US,194.45,USD,CREATED
O-1122,2025-11-02T00:07:00Z,C-0122,AU,832.02,AUD,CANCELLED
O-1123,2025-11-02T00:14:00Z,C-0123,GB,842.21,GBP,CANCELLED
O-1124,2025-11-02T00:21:00Z,C-0124,AU,91.49,AUD,CANCELLED
O-1125,2025-11-02T00:28:00Z,C-0125,US,1351.42,USD,PAID
O-1126,2025-11-02T00:35:00Z,C-0126,AU,1010.39,AUD,CANCELLED
O-1127,2025-11-02T00:42:00Z,C-0127,GB,1329.68,GBP,CANCELLED
O-1128,2025-11-02T00:49:00Z,C-0128,GB,1131.73,GBP,PAID
O-1129,2025-11-02T00:56:00Z,C-0129,AU,1465.02,AUD,PAID
O-1130,2025-11-02T01:03:00Z,C-0130,IN,66.44,INR,CREATED
O-1131,2025-11-02T01:10:00Z,C-0131,CA,1180.11,CAD,CANCELLED
O-1132,2025-11-02T01:17:00Z,C-0132,AU,422.2,AUD,CREATED
O-1133,2025-11-02T01:24:00Z,C-0133,US,592.34,USD,PAID
O-1134,2025-11-02T01:31:00Z,C-0134,IN,356.98,INR,CANCELLED
O-1135,2025-11-02T01:38:00Z,C-0135,CA,478.63,CAD,PAID
O-1136,2025-11-02T01:45:00Z,C-0136,AU,64.79,AUD,PAID
O-1137,2025-11-02T01:52:00Z,C-0137,IN,512.55,INR,PAID
O-1138,2025-11-02T01:59:00Z,C-0138,CA,546.18,CAD,CREATED
O-1139,2025-11-02T02:06:00Z,C-0139,IN,1028.89,INR,CREATED
O-1140,2025-11-02T02:13:00Z,C-0140,CA,1410.68,CAD,PAID
O-1141,2025-11-02T02:20:00Z,C-0141,CA,292.49,CAD,CANCELLED
O-1142,2025-11-02T02:27:00Z,C-0142,US,189.35,USD,CANCELLED
O-1143,2025-11-02T02:34:00Z,C-0143,CA,1100.96,CAD,CANCELLED
O-1144,2025-11-02T02:41:00Z,C-0144,IN,921.13,INR,CREATED
O-1145,2025-11-02T02:48:00Z,C-0145,US,596.24,USD,CREATED
O-1146,2025-11-02T02:55:00Z,C-0146,AU,404.44,AUD,CREATED
O-1147,2025-11-02T03:02:00Z,C-0147,IN,32.49,INR,CREATED
O-1148,2025-11-02T03:09:00Z,C-0148,AU,565.41,AUD,PAID
O-1149,2025-11-02T03:16:00Z,C-0149,CA,946.04,CAD,CREATED
O-1150,2025-11-02T03:23:00Z,C-0150,US,1088.04,USD,CANCELLED
O-1151,2025-11-02T03:30:00Z,C-0151,GB,484.65,GBP,CANCELLED
O-1152,2025-11-02T03:37:00Z,C-0152,CA,621.53,CAD,CANCELLED
O-1153,2025-11-02T03:44:00Z,C-0153,GB,217.11,GBP,CANCELLED
O-1154,2025-11-02T03:51:00Z,C-0154,IN,1025.66,INR,PAID
O-1155,2025-11-02T03:58:00Z,C-0155,GB,866.58,GBP,CANCELLED
O-1156,2025-11-02T04:05:00Z,C-0156,GB,1255.58,GBP,CANCELLED
O-1157,2025-11-02T04:12:00Z,C-0157,CA,338.97,CAD,CREATED
O-1158,2025-11-02T04:19:00Z,C-0158,GB,992.42,GBP,CANCELLED
O-1159,2025-11-02T04:26:00Z,C-0159,IN,679.97,INR,PAID
O-1160,2025-11-02T04:33:00Z,C-0160,GB,725.58,GBP,CREATED
O-1161,2025-11-02T04:40:00Z,C-0161,AU,998.51,AUD,CANCELLED
O-1162,2025-11-02T04:47:00Z,C-0162,GB,1005.87,GBP,CREATED
O-1163,2025-11-02T04:54:00Z,C-0163,CA,167.28,CAD,PAID
O-1164,2025-11-02T05:01:00Z,C-0164,CA,360.22,CAD,PAID
O-1165,2025-11-02T05:08:00Z,C-0165,AU,65.91,AUD,PAID
O-1166,2025-11-02T05:15:00Z,C-0166,IN,928.57,INR,PAID
O-1167,2025-11-02T05:22:00Z,C-0167,IN,639.23,INR,CREATED
O-1168,2025-11-02T05:29:00Z,C-0168,GB,315.82,GBP,CREATED
O-1169,2025-11-02T05:36:00Z,C-0169,IN,756.73,INR,PAID
O-1170,2025-11-02T05:43:00Z,C-0170,AU,994.41,AUD,PAID
O-1171,2025-11-02T05:50:00Z,C-0171,US,1174.28,USD,PAID
O-1172,2025-11-02T05:57:00Z,C-0172,AU,1212.04,AUD,CREATED
O-1173,2025-11-02T06:04:00Z,C-0173,GB,712.89,GBP,CREATED
O-1174,2025-11-02T06:11:00Z,C-0174,AU,1378.68,AUD,PAID
O-1175,2025-11-02T06:18:00Z,C-0175,IN,226.01,INR,CANCELLED
O-1176,2025-11-02T06:25:00Z,C-0176,GB,1482.2,GBP,CREATED
O-1177,2025-11-02T06:32:00Z,C-0177,CA,1426.56,CAD,CANCELLED
O-1178,2025-11-02T06:39:00Z,C-0178,GB,1228.06,GBP,CREATED
O-1179,2025-11-02T06:46:00Z,C-0179,IN,1250.94,INR,CREATED
O-1180,2025-11-02T06:53:00Z,C-0180,IN,1348.9,INR,CREATED
O-1181,2025-11-02T07:00:00Z,C-0181,IN,691.6,INR,PAID
O-1182,2025-11-02T07:07:00Z,C-0182,CA,1155.75,CAD,CREATED
O-1183,2025-11-02T07:14:00Z,C-0183,IN,951.32,INR,CANCELLED
O-1184,2025-11-02T07:21:00Z,C-0184,IN,143.9,INR,CANCELLED
O-1185,2025-11-02T07:28:00Z,C-0185,AU,429.42,AUD,CANCELLED
O-1186,2025-11-02T07:35:00Z,C-0186,GB,148.45,GBP,PAID
O-1187,2025-11-02T07:42:00Z,C-0187,AU,593.06,AUD,PAID
O-1188,2025-11-02T07:49:00Z,C-0188,AU,124.42,AUD,CANCELLED
O-1189,2025-11-02T07:56:00Z,C-0189,CA,827.64,CAD,CANCELLED
O-1190,2025-11-02T08:03:00Z,C-0190,US,334.05,USD,CANCELLED
O-1191,2025-11-02T08:10:00Z,C-0191,IN,1360.11,INR,CREATED
O-1192,2025-11-02T08:17:00Z,C-0192,US,1289.4,USD,CREATED
O-1193,2025-11-02T08:24:00Z,C-0193,IN,731.16,INR,CANCELLED
O-1194,2025-11-02T08:31:00Z,C-0194,CA,1137.61,CAD,CANCELLED
O-1195,2025-11-02T08:38:00Z,C-0195,GB,1128.85,GBP,CREATED
O-1196,2025-11-02T08:45:00Z,C-0196,GB,1349.78,GBP,CANCELLED
O-1197,2025-11-02T08:52:00Z,C-0197,AU,431.21,AUD,CANCELLED
O-1198,2025-11-02T08:59:00Z,C-0198,US,601.62,USD,CREATED
O-1199,2025-11-02T09:06:00Z,C-0199,IN,1094.55,INR,CANCELLED
O-1200,2025-11-02T09:13:00Z,C-0200,AU,1471.66,AUD,CREATED
O-1201,2025-11-02T09:20:00Z,C-0201,US,1363.19,USD,CREATED
O-1202,2025-11-02T09:27:00Z,C-0202,GB,1004.61,GBP,PAID
O-1203,2025-11-02T09:34:00Z,C-0203,IN,229.48,INR,CANCELLED
O-1204,2025-11-02T09:41:00Z,C-0204,AU,103.92,AUD,CANCELLED
O-1205,2025-11-02T09:48:00Z,C-0205,CA,341.14,CAD,CANCELLED
O-1206,2025-11-02T09:55:00Z,C-0206,CA,1149.01,CAD,CANCELLED
O-1207,2025-11-02T10:02:00Z,C-0207,CA,1135.45,CAD,CANCELLED
O-1208,2025-11-02T10:09:00Z,C-0208,CA,1257.32,CAD,CANCELLED
O-1209,2025-11-02T10:16:00Z,C-0209,US,1131.07,USD,PAID
O-1210,2025-11-02T10:23:00Z,C-0210,CA,359.61,CAD,PAID
O-1211,2025-11-02T10:30:00Z,C-0211,US,1138.72,USD,PAID
O-1212,2025-11-02T10:37:00Z,C-0212,AU,1263.67,AUD,CREATED
O-1213,2025-11-02T10:44:00Z,C-0213,AU,380.66,AUD,CANCELLED
O-1214,2025-11-02T10:51:00Z,C-0214,US,859.04,USD,PAID
O-1215,2025-11-02T10:58:00Z,C-0215,IN,1058.21,INR,CANCELLED
O-1216,2025-11-02T11:05:00Z,C-0216,AU,920.66,AUD,CREATED
O-1217,2025-11-02T11:12:00Z,C-0217,US,1173.35,USD,PAID
O-1218,2025-11-02T11:19:00Z,C-0218,CA,188.91,CAD,PAID
O-1219,2025-11-02T11:26:00Z,C-0219,CA,876.42,CAD,CANCELLED
O-1220,2025-11-02T11:33:00Z,C-0220,IN,1413.96,INR,PAID
O-1221,2025-11-02T11:40:00Z,C-0221,US,900.38,USD,CREATED
O-1222,2025-11-02T11:47:00Z,C-0222,AU,179.79,AUD,CANCELLED
O-1223,2025-11-02T11:54:00Z,C-0223,GB,1214.13,GBP,CREATED
O-1224,2025-11-02T12:01:00Z,C-0224,US,540.39,USD,CANCELLED
O-1225,2025-11-02T12:08:00Z,C-0225,CA,131.37,CAD,CREATED
O-1226,2025-11-02T12:15:00Z,C-0226,CA,48.6,CAD,CANCELLED
O-1227,2025-11-02T12:22:00Z,C-0227,IN,185.14,INR,CANCELLED
O-1228,2025-11-02T12:29:00Z,C-0228,IN,1069.74,INR,CANCELLED
O-1229,2025-11-02T12:36:00Z,C-0229,AU,1108.68,AUD,CREATED
O-1230,2025-11-02T12:43:00Z,C-0230,CA,935.39,CAD,CREATED
O-1231,2025-11-02T12:50:00Z,C-0231,IN,713.36,INR,CREATED
O-1232,2025-11-02T12:57:00Z,C-0232,GB,424.54,GBP,PAID
O-1233,2025-11-02T13:04:00Z,C-0233,US,440.02,USD,CANCELLED
O-1234,2025-11-02T13:11:00Z,C-0234,AU,1133.2,AUD,CREATED
O-1235,2025-11-02T13:18:00Z,C-0235,GB,1012.24,GBP,CANCELLED
O-1236,2025-11-02T13:25:00Z,C-0236,US,756.63,USD,CANCELLED
O-1237,2025-11-02T13:32:00Z,C-0237,AU,746.7,AUD,CANCELLED
O-1238,2025-11-02T13:39:00Z,C-0238,CA,530.3,CAD,CREATED
O-1239,2025-11-02T13:46:00Z,C-0239,CA,847.01,CAD,CREATED
O-1240,2025-11-02T13:53:00Z,C-0240,AU,155.85,AUD,CREATED
O-1241,2025-11-02T14:00:00Z,C-0241,IN,748.21,INR,PAID
O-1242,2025-11-02T14:07:00Z,C-0242,IN,979.48,INR,CANCELLED
O-1243,2025-11-02T14:14:00Z,C-0243,IN,1195.61,INR,PAID
O-1244,2025-11-02T14:21:00Z,C-0244,CA,355.75,CAD,CREATED
O-1245,2025-11-02T14:28:00Z,C-0245,AU,480.12,AUD,CREATED
O-1246,2025-11-02T14:35:00Z,C-0246,CA,725.69,CAD,CREATED
O-1247,2025-11-02T14:42:00Z,C-0247,CA,655.49,CAD,CREATED
O-1248,2025-11-02T14:49:00Z,C-0248,GB,516.26,GBP,CREATED
O-1249,2025-11-02T14:56:00Z,C-0249,IN,428.25,INR,CANCELLED
O-1250,2025-11-02T15:03:00Z,C-0250,AU,207.36,AUD,PAID
O-1251,2025-11-02T15:10:00Z,C-0251,CA,205.75,CAD,CREATED
O-1252,2025-11-02T15:17:00Z,C-0252,AU,311.57,AUD,CREATED
O-1253,2025-11-02T15:24:00Z,C-0253,IN,436.45,INR,CREATED
O-1254,2025-11-02T15:31:00Z,C-0254,GB,907.28,GBP,PAID
O-1255,2025-11-02T15:38:00Z,C-0255,AU,465.48,AUD,CANCELLED
O-1256,2025-11-02T15:45:00Z,C-0256,AU,474.33,AUD,CREATED
O-1257,2025-11-02T15:52:00Z,C-0257,GB,216.08,GBP,PAID
O-1258,2025-11-02T15:59:00Z,C-0258,US,843.44,USD,CREATED
O-1259,2025-11-02T16:06:00Z,C-0259,AU,967.67,AUD,CANCELLED
O-1260,2025-11-02T16:13:00Z,C-0260,US,1312.9,USD,CREATED
O-1261,2025-11-02T16:20:00Z,C-0261,CA,720.01,CAD,CANCELLED
O-1262,2025-11-02T16:27:00Z,C-0262,CA,301.01,CAD,PAID
O-1263,2025-11-02T16:34:00Z,C-0263,CA,1413.36,CAD,CANCELLED
O-1264,2025-11-02T16:41:00Z,C-0264,US,1238.51,USD,CANCELLED
O-1265,2025-11-02T16:48:00Z,C-0265,IN,138.9,INR,CREATED
O-1266,2025-11-02T16:55:00Z,C-0266,US,253.04,USD,CREATED
O-1267,2025-11-02T17:02:00Z,C-0267,CA,155.22,CAD,PAID
O-1268,2025-11-02T17:09:00Z,C-0268,US,850.37,USD,CANCELLED
O-1269,2025-11-02T17:16:00Z,C-0269,GB,906.31,GBP,CREATED
O-1270,2025-11-02T17:23:00Z,C-0270,AU,1170.27,AUD,CANCELLED
O-1271,2025-11-02T17:30:00Z,C-0271,IN,1365.5,INR,CANCELLED
O-1272,2025-11-02T17:37:00Z,C-0272,GB,1485.35,GBP,CANCELLED
O-1273,2025-11-02T17:44:00Z,C-0273,GB,942.91,GBP,CREATED
O-1274,2025-11-02T17:51:00Z,C-0274,US,1422.96,USD,PAID
O-1275,2025-11-02T17:58:00Z,C-0275,AU,419.03,AUD,PAID
O-1276,2025-11-02T18:05:00Z,C-0276,AU,382.6,AUD,CREATED
O-1277,2025-11-02T18:12:00Z,C-0277,US,260.1,USD,CANCELLED
O-1278,2025-11-02T18:19:00Z,C-0278,IN,1043.38,INR,CANCELLED
O-1279,2025-11-02T18:26:00Z,C-0279,CA,77.98,CAD,CANCELLED
O-1280,2025-11-02T18:33:00Z,C-0280,CA,1063.39,CAD,CANCELLED
O-1281,2025-11-02T18:40:00Z,C-0281,US,1040.46,USD,CANCELLED
O-1282,2025-11-02T18:47:00Z,C-0282,GB,1001.94,GBP,PAID
O-1283,2025-11-02T18:54:00Z,C-0283,IN,198.72,INR,PAID
O-1284,2025-11-02T19:01:00Z,C-0284,AU,1365.36,AUD,PAID
O-1285,2025-11-02T19:08:00Z,C-0285,US,117.67,USD,CANCELLED
O-1286,2025-11-02T19:15:00Z,C-0286,GB,1130.97,GBP,CREATED
O-1287,2025-11-02T19:22:00Z,C-0287,CA,675.56,CAD,CANCELLED
O-1288,2025-11-02T19:29:00Z,C-0288,CA,1058.61,CAD,CANCELLED
O-1289,2025-11-02T19:36:00Z,C-0289,GB,823.77,GBP,CANCELLED
O-1290,2025-11-02T19:43:00Z,C-0290,US,909.11,USD,CANCELLED
O-1291,2025-11-02T19:50:00Z,C-0291,CA,917.46,CAD,PAID
O-1292,2025-11-02T19:57:00Z,C-0292,US,366.52,USD,CREATED
O-1293,2025-11-02T20:04:00Z,C-0293,GB,893.07,GBP,PAID
O-1294,2025-11-02T20:11:00Z,C-0294,CA,877.08,CAD,PAID
O-1295,2025-11-02T20:18:00Z,C-0295,IN,792.88,INR,CANCELLED
O-1296,2025-11-02T20:25:00Z,C-0296,CA,296.79,CAD,CREATED
O-1297,2025-11-02T20:32:00Z,C-0297,IN,963.13,INR,CANCELLED
O-1298,2025-11-02T20:39:00Z,C-0298,US,720.92,USD,CANCELLED
O-1299,2025-11-02T20:46:00Z,C-0299,CA,501.96,CAD,PAID
O-1300,2025-11-02T20:53:00Z,C-0300,AU,514.81,AUD,CREATED
O-1301,2025-11-02T21:00:00Z,C-0301,IN,453.68,INR,CANCELLED
O-1302,2025-11-02T21:07:00Z,C-0302,GB,83.94,GBP,PAID
O-1303,2025-11-02T21:14:00Z,C-0303,CA,401.03,CAD,PAID
O-1304,2025-11-02T21:21:00Z,C-0304,IN,1301.42,INR,PAID
O-1305,2025-11-02T21:28:00Z,C-0305,GB,709.11,GBP,PAID
O-1306,2025-11-02T21:35:00Z,C-0306,AU,792.11,AUD,CREATED
O-1307,2025-11-02T21:42:00Z,C-0307,IN,949.35,INR,PAID
O-1308,2025-11-02T21:49:00Z,C-0308,AU,422.57,AUD,PAID
O-1309,2025-11-02T21:56:00Z,C-0309,CA,674.03,CAD,CREATED
O-1310,2025-11-02T22:03:00Z,C-0310,IN,208.5,INR,CREATED
O-1311,2025-11-02T22:10:00Z,C-0311,GB,1204.99,GBP,CREATED
O-1312,2025-11-02T22:17:00Z,C-0312,AU,486.8,AUD,PAID
O-1313,2025-11-02T22:24:00Z,C-0313,GB,629.75,GBP,PAID
O-1314,2025-11-02T22:31:00Z,C-0314,US,708.33,USD,PAID
O-1315,2025-11-02T22:38:00Z,C-0315,AU,762.61,AUD,CREATED
O-1316,2025-11-02T22:45:00Z,C-0316,CA,778.04,CAD,CANCELLED
O-1317,2025-11-02T22:52:00Z,C-0317,IN,1257.04,INR,CANCELLED
O-1318,2025-11-02T22:59:00Z,C-0318,AU,701.48,AUD,PAID
O-1319,2025-11-02T23:06:00Z,C-0319,IN,310.2,INR,CREATED
O-1320,2025-11-02T23:13:00Z,C-0320,GB,1127.05,GBP,PAID
O-1321,2025-11-02T23:20:00Z,C-0321,US,436.08,USD,CANCELLED
O-1322,2025-11-02T23:27:00Z,C-0322,CA,1403.35,CAD,CREATED
O-1323,2025-11-02T23:34:00Z,C-0323,CA,1236.21,CAD,CANCELLED
O-1324,2025-11-02T23:41:00Z,C-0324,CA,1261.09,CAD,CREATED
O-1325,2025-11-02T23:48:00Z,C-0325,IN,1301.93,INR,CANCELLED
O-1326,2025-11-02T23:55:00Z,C-0326,GB,741.98,GBP,CANCELLED
O-1327,2025-11-03T00:02:00Z,C-0327,GB,1151.42,GBP,CANCELLED
O-1328,2025-11-03T00:09:00Z,C-0328,IN,1401.29,INR,PAID
O-1329,2025-11-03T00:16:00Z,C-0329,AU,870.54,AUD,PAID
O-1330,2025-11-03T00:23:00Z,C-0330,IN,94.16,INR,CREATED
O-1331,2025-11-03T00:30:00Z,C-0331,IN,1066.68,INR,CANCELLED
O-1332,2025-11-03T00:37:00Z,C-0332,IN,1482.97,INR,CREATED
O-1333,2025-11-03T00:44:00Z,C-0333,AU,758.13,AUD,PAID
O-1334,2025-11-03T00:51:00Z,C-0334,AU,768.37,AUD,CREATED
O-1335,2025-11-03T00:58:00Z,C-0335,CA,1308.46,CAD,CANCELLED
O-1336,2025-11-03T01:05:00Z,C-0336,US,803.15,USD,CANCELLED
O-1337,2025-11-03T01:12:00Z,C-0337,US,1091.99,USD,CANCELLED
O-1338,2025-11-03T01:19:00Z,C-0338,AU,140.0,AUD,CANCELLED
